;Corrente Fase A;Corrente Fase B;Corrente Fase C;Corrente Total;Fator de Potência;Frequência;Potência Aparente;Potência Ativa;Potência Reativa;Produção de Energia;Tensão Fase AB;Tensão Fase BC;Tensão Fase CA
25-jan-18 12:18:30;13,97181034;13,93181038;13,98180962;41,11672211;-99,64917755;60,01689911;9672,017578;9671,929688;41,42097092;30919744;397,5434875;399,112854;397,6002808
25-jan-18 12:19:00;13,96219444;13,92219448;13,97219372;41,10950089;-99,65035248;60,01691055;9663,000977;9662,911133;41,79586792;30919846;397,5657043;399,3629456;397,5411682
25-jan-18 12:19:30;13,95257854;13,91257858;13,96257782;41,10227966;-99,6515274;60,01691818;9659,899414;9659,810547;41,43125534;30919924;397,5879211;399,6130066;397,4820862
25-jan-18 12:20:00;13,94296265;13,90296268;13,95296192;41,09505844;-99,65270233;60,01692963;9663,867188;9663,78418;40,18264008;30919972;397,6101379;399,8630676;397,4229736
25-jan-18 12:20:30;13,93334675;13,89334679;13,94334602;41,0878334;-99,65387726;60,01694107;9672,742188;9672,665039;38,93402481;30920042;397,6323547;400,1131592;397,3638916
25-jan-18 12:21:00;13,92373085;13,88373089;13,93373013;41,08061218;-99,65505219;60,01695251;9687,802734;9687,730469;37,68540573;30920142;397,6545715;400,3632202;397,3047791
25-jan-18 12:21:30;13,91411495;13,87411499;13,92411423;41,07339096;-99,65622711;60,01696014;9725,880859;9725,808594;37,4516449;30920220;397,6768188;400,6133118;397,245697
25-jan-18 12:22:00;13,90449905;13,86449909;13,91449833;41,06616974;-99,65740204;60,01697159;9791,96875;9791,893555;38,45293045;30920272;397,6990356;400,8633728;397,1865845
25-jan-18 12:22:30;13,89488316;13,85488319;13,90488243;41,0589447;-99,65857697;60,01698303;9811,546875;9811,472656;38,31929398;30920346;397,7212524;400,7052307;397,1275024
25-jan-18 12:23:00;13,88526726;13,8452673;13,89526653;41,05172348;-99,65975189;60,01699448;9775,106445;9775,039063;36,81873322;30920444;397,7434692;400,0553894;397,0683899
25-jan-18 12:23:30;13,87565136;13,8356514;13,88565063;41,04450226;-99,66092682;60,01700211;9760,700195;9760,638672;35,31816864;30920544;397,765686;399,4055786;397,0093079
25-jan-18 12:24:00;13,86603546;13,8260355;13,87603474;41,03727722;-99,66210175;60,01701355;9773,229492;9773,171875;33,81760788;30920646;397,7879028;398,7557678;396,9501953
25-jan-18 12:24:30;13,85641956;13,8164196;13,86641884;41,030056;-99,66327667;60,01702499;9765,008789;9764,953125;33,22728729;30920724;397,368042;398,105957;396,8911133
25-jan-18 12:25:00;13,84680367;13,8068037;13,85680294;41,02283478;-99,6644516;60,01703262;9731,949219;9731,893555;33,72667313;30920772;396,4189148;397,4561157;396,8320007
25-jan-18 12:25:30;13,83718681;13,79718685;13,84718609;41,01561356;-99,66562653;60,01704407;9685,488281;9685,431641;34,22606277;30920844;395,4697876;396,8063049;396,8041992
25-jan-18 12:26:00;13,82757092;13,78757095;13,83757019;41,00838852;-99,66679382;60,01705551;9623,216797;9623,160156;34,72544861;30920942;394,5206604;396,1564941;396,8132629
25-jan-18 12:26:30;13,81795502;13,77795506;13,82795429;41,0011673;-99,66796875;60,01706696;9594,241211;9594,181641;35,22483444;30921020;394,0586853;395,8496704;396,8223572
25-jan-18 12:27:00;13,80833912;13,76833916;13,81833839;40,99394608;-99,66914368;60,01707458;9605,725586;9605,661133;35,72422028;30921072;394,1887207;395,9596863;396,8314514
25-jan-18 12:27:30;13,79872322;13,75872326;13,8087225;40,98672485;-99,6703186;60,01708603;9597,486328;9597,416992;36,0995369;30921146;394,3187256;396,0697021;396,8405457
25-jan-18 12:28:00;13,78910732;13,74910736;13,7991066;40,97949982;-99,67149353;60,01709747;9564,922852;9564,849609;36,32183456;30921246;394,4487305;396,179718;396,8496399
25-jan-18 12:28:30;13,77949142;13,73949146;13,7894907;40,97227859;-99,67266846;60,01710892;9519,477539;9519,40332;36,54413223;30921346;394,5787659;396,2897339;396,8587036
25-jan-18 12:29:00;13,76987553;13,72987556;13,7798748;40,96505737;-99,67384338;60,01711655;9458,411133;9458,34082;36,7664299;30921446;394,7087708;396,3997498;396,8677979
25-jan-18 12:29:30;13,76025963;13,72025967;13,7702589;40,95783615;-99,67501831;60,01712799;9438,665039;9438,594727;36,98872757;30921524;394,8387756;396,5097656;396,8768921
25-jan-18 12:30:00;13,75064373;13,71064377;13,76064301;40,95061111;-99,67619324;60,01713943;9468,614258;9468,540039;37,21102142;30921572;394,968811;396,6197815;396,8859863
25-jan-18 12:30:30;13,74102783;13,70102787;13,75102711;40,94338989;-99,67736816;60,01715088;9467,270508;9467,193359;37,43331909;30921644;395,0988159;396,7297668;396,8950806
25-jan-18 12:31:00;13,73141193;13,69141197;13,74141121;40,93616867;-99,67854309;60,01715851;9427,732422;9427,652344;37,65561676;30921742;395,2288513;396,8397827;396,9041443
25-jan-18 12:31:30;13,72179604;13,68179607;13,73179531;40,92894363;-99,67971802;60,01716995;9419,925781;9419,844727;37,87791443;30921820;395,3588562;396,9497986;396,9132385
25-jan-18 12:32:00;13,71218014;13,67218018;13,72217941;40,92172241;-99,68089294;60,0171814;9450,529297;9450,448242;38,1002121;30921872;395,4888611;397,0598145;396,9223328
25-jan-18 12:32:30;13,70256424;13,66256428;13,71256351;40,91450119;-99,68206787;60,01718903;9468,337891;9468,258789;38,32250977;30921946;395,6188965;397,1698303;396,931427
25-jan-18 12:33:00;13,69294739;13,65294743;13,70294666;40,90727997;-99,6832428;60,01720047;9471,078125;9471,000977;38,54480743;30922046;395,7489014;397,2798462;396,9405212
25-jan-18 12:33:30;13,68333149;13,64333153;13,69333076;40,90005493;-99,6844101;60,01721191;9473,817383;9473,742188;38,76710129;30922146;395,8789063;397,3898621;396,949585
25-jan-18 12:34:00;13,67371559;13,63371563;13,68371487;40,89283371;-99,68558502;60,01722336;9476,557617;9476,484375;38,98939896;30922246;396,0089417;397,4998779;396,9586792
25-jan-18 12:34:30;13,66409969;13,62409973;13,67409897;40,88561249;-99,68675995;60,01723099;9494,674805;9494,600586;39,21169662;30922324;396,1389465;397,6098633;396,9677734
